,file,PCount,kp_100,kp_50
0,./imagesbooks/ukbench05960.jpg,,100,100
1,./imagesbooks/ukbench00459.jpg,,100,100
2,./imagesbooks/ukbench06010.jpg,,100,100
3,./imagesbooks/ukbench06104.jpg,,100,100
4,./imagesbooks/ukbench00458.jpg,,100,100
5,./imagesbooks/ukbench00248.jpg,,100,100
6,./imagesbooks/ukbench06408.jpg,,100,100
7,./imagesbooks/ukbench00303.jpg,,66.6666666666667,33.3333333333333
8,./imagesbooks/ukbench03124.jpg,,100,100
9,./imagesbooks/ukbench05776.jpg,,100,100
10,./imagesbooks/ukbench06113.jpg,,100,100
11,./imagesbooks/ukbench05964.jpg,,100,100
12,./imagesbooks/ukbench10164.jpg,,66.6666666666667,66.6666666666667
13,./imagesbooks/ukbench02750.jpg,,100,100
14,./imagesbooks/ukbench05951.jpg,,100,100
15,./imagesbooks/ukbench05983.jpg,,100,100
16,./imagesbooks/ukbench03867.jpg,,100,100
17,./imagesbooks/ukbench05883.jpg,,100,100
18,./imagesbooks/ukbench06049.jpg,,100,100
19,./imagesbooks/ukbench06017.jpg,,100,100
20,./imagesbooks/ukbench06150.jpg,,100,33.3333333333333
21,./imagesbooks/ukbench06151.jpg,,100,66.6666666666667
22,./imagesbooks/ukbench02749.jpg,,100,100
23,./imagesbooks/ukbench02721.jpg,,100,100
24,./imagesbooks/ukbench05879.jpg,,100,100
25,./imagesbooks/ukbench06148.jpg,,0,0
26,./imagesbooks/ukbench05880.jpg,,100,100
27,./imagesbooks/ukbench05929.jpg,,100,100
28,./imagesbooks/ukbench06048.jpg,,100,100
29,./imagesbooks/ukbench08544.jpg,,100,100
30,./imagesbooks/ukbench03058.jpg,,100,100
31,./imagesbooks/ukbench10154.jpg,,100,100
32,./imagesbooks/ukbench00000.jpg,,100,100
33,./imagesbooks/ukbench05972.jpg,,100,100
34,./imagesbooks/ukbench05872.jpg,,100,100
35,./imagesbooks/ukbench08542.jpg,,66.6666666666667,66.6666666666667
36,./imagesbooks/ukbench06004.jpg,,100,100
37,./imagesbooks/ukbench05993.jpg,,100,100
38,./imagesbooks/ukbench05988.jpg,,100,100
39,./imagesbooks/ukbench00483.jpg,,100,100
40,./imagesbooks/ukbench08546.jpg,,100,100
41,./imagesbooks/ukbench06539.jpg,,100,100
42,./imagesbooks/ukbench02748.jpg,,100,100
43,./imagesbooks/ukbench05980.jpg,,100,100
44,./imagesbooks/ukbench08001.jpg,,100,100
45,./imagesbooks/ukbench03890.jpg,,100,100
46,./imagesbooks/ukbench03059.jpg,,100,100
47,./imagesbooks/ukbench10081.jpg,,100,100
48,./imagesbooks/ukbench06519.jpg,,100,100
49,./imagesbooks/ukbench05787.jpg,,100,100
,,,,
,,,96,93.3333333333333
